position,code,media,bucket,school
413,DJ9447764,9.22,FAR_RURAL,"ȘCOALA GIMNAZIALĂ ""MARIN SORESCU"" BULZEȘTI"
414,DJ12619418,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
415,DJ9472096,9.22,FAR_RURAL,"ȘCOALA GIMNAZIALĂ FĂRCAȘ"
416,DJ9726673,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
417,DJ9447142,9.22,CRAIOVA,"LICEUL TEOLOGIC ADVENTIST CRAIOVA"
418,DJ9493804,9.22,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
419,DJ11095743,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TERRAVEDA"" CRAIOVA"
420,DJ12618880,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
421,DJ9180718,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
422,DJ9446063,9.22,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
423,DJ9494883,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
424,DJ9090480,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
425,DJ8779103,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
426,DJ9437192,9.22,NEAR_CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALECSANDRU NICOLAID"" MISCHII"
427,DJ9447120,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
428,DJ12493112,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
429,DJ9044308,9.22,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI"
430,DJ9757554,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
